County,Jurisdiction Type,Prohibited?,,
Alameda,County,N,,
Alpine,County,Y,,
Amador,County,Y,,
Butte,County,Y,,
Calaveras,County,N,,
Colusa,County,N,,
Contra Costa,County,N,,
Del Norte,County,N,,
El Dorado,County,N,,
Fresno,County,Y,,
Glenn,County,Y,,
Humboldt,County,N,,
Imperial,County,N,,
Inyo,County,N,,
Kern,County,Y,,
Kings,County,Y,,
Lake,County,N,,
Lassen ,County,N,,
Los Angeles,County,Y,,
Madera,County,Y,,
Marin,County,N,,
Mariposa,County,Y,,
Mendocino,County,N,,
Merced,County,Y,,
Modoc,County,Y,,
Mono,County,N,,
Monterey,County,N,,
Napa,County,Y,,
Nevada,County,N,,
Orange,County,Y,,
Placer,County,Y,,
Plumas,County,Y,,
Riverside,County,N,,
Sacramento,County,Y,,
San Benito,County,N,,
San Bernardino,County,Y,,
San Diego,County,N,,
San Joaquin,County,N,,
San Luis Obispo,County,N,,
San Mateo,County,N,,
Santa Barbara,County,N,,
Santa Clara,County,Y,,
Santa Cruz,County,N,,
Shasta,County,Y,,
Sierra,County,Y,,
Siskiyou,County,Y,,
Solano,County,Y,,
Sonoma,County,N,,
Stanislaus,County,N,,
Sutter,County,Y,,
Tehama,County,Y,,
Trinity,County,N,,
Tulare,County,N,,
Tuolumne,County,Y,,
Ventura,County,N,,
Yolo,County,N,,
Yuba,County,Y,,